1710,449,2522,9956103,3035,66436326,24337905,2945,26847303,3625,59668195,49330854
3378,96414541,9897,14313167,88771032,41812431,98228793,39164525,71955466,38512766,31666642,2651
7601386,42451202,14515853,86960434,58458250,83177405,45403152,66726541,50695323,53959548,65556877,89302223
2071,6128639,4786676,84970950,2775,3496,3940,171,61714267,95782577,6934583,91025083
5927,5196965,56642502,40185999,933,28360057,44458460,19923216,89946835,21858203,19809311,16981333
3189,34629786,3273,87599461,84034579,57693803,323,9067219,58806037,3576,142,21271294
8931,61029869,38205874,52539229,37129354,49418222,47742539,55811417,865,97103237,79972260,1902
85133188,17909336,94826453,21088898,42905002,87197690,9693319,10022,95617645,31062770,58160090,57986551
26638216,3129,27672302,79934978,79838293,74552196,2947,18880945,66663372,682,75854611,2979
1879376,86834001,2045,47865402,38848883,35369825,17035544,11736327,12794679,3878,47281336,39952963
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
1710,449,2522,9956103,3035,66436326,24337905,2945,26847303,3625,59668195,49330854
7601386,42451202,14515853,86960434,58458250,83177405,45403152,66726541,50695323,53959548,65556877,89302223
8931,61029869,38205874,52539229,37129354,49418222,47742539,55811417,865,97103237,79972260,1902
85133188,17909336,94826453,21088898,42905002,87197690,9693319,10022,95617645,31062770,58160090,57986551
1879376,86834001,2045,47865402,38848883,35369825,17035544,11736327,12794679,3878,47281336,39952963
