12963879,4058731,96697401,41164273,12162918,479,124,3996,45115184,8027,78194093,87679588,2170,1234,3293,85872715,20404392,949460,63599234,633,96037745,41454017
3153,89460461,3964,15076423,49255633,792,926,798,10692495,19611203,51602697,97227751,99520563,3205,75671767,24313408,76798975,64262807,40248417,4013,61788761,57618069
78724664,93704944,11480212,1929,5695713,93482148,61659604,87724715,88073575,76435845,31916600,11736327,46485179,72883474,23104387,2439,56431281,13603061,17042690,829,68556356,19942432
3910,54261672,1615906,22068381,9493,301,9673,3610,88711630,17459643,28338015,49,78180604,65062272,87907689,90330576,3218,85013025,79335272,3932,3196,79846286
4533,61405271,35908234,58155363,16977686,87381881,1895,6311643,10819483,8346772,3428841,96935939,91531282,94047659,69068598,1657,74449389,71189987,50320124,93935125,9268027,91776167
3720,88863443,2864957,271,1666,2473,2020,28735864,71522283,7310396,1609,34591257,77198278,11066365,66402190,24390584,729,53048187,23946523,71138578,33949649,18494886
6924,56390714,62890523,21858203,90570520,78649419,46252030,77133154,3119,2253,86180990,74494957,59535497,3854,28566903,2289492,84733318,2212,35347509,59714329,9408325,49192738
2661,1497954,64184588,342,7032335,8577967,304,62610715,97103237,85205876,33791315,28216910,47106474,45131135,19250178,1736,96231013,3922403,86869412,66466748,76775717,26075345
2763,38848883,1761,64655774,16072351,22177893,67744958,2047,54091328,49724513,5897534,35251403,2474,63472384,87259512,97537642,25790983,52041840,1888,3937,69328868,80142312
4163349,35698783,48227208,2423,19007480,64459979,21435213,52391654,40894991,3599,72003149,12458819,70650827,53282368,63441431,1349,74818038,68,74438202,25709551,17524379,35131472
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
12963879,4058731,96697401,41164273,12162918,479,124,3996,45115184,8027,78194093,87679588,2170,1234,3293,85872715,20404392,949460,63599234,633,96037745,41454017
78724664,93704944,11480212,1929,5695713,93482148,61659604,87724715,88073575,76435845,31916600,11736327,46485179,72883474,23104387,2439,56431281,13603061,17042690,829,68556356,19942432
6924,56390714,62890523,21858203,90570520,78649419,46252030,77133154,3119,2253,86180990,74494957,59535497,3854,28566903,2289492,84733318,2212,35347509,59714329,9408325,49192738
2661,1497954,64184588,342,7032335,8577967,304,62610715,97103237,85205876,33791315,28216910,47106474,45131135,19250178,1736,96231013,3922403,86869412,66466748,76775717,26075345
4163349,35698783,48227208,2423,19007480,64459979,21435213,52391654,40894991,3599,72003149,12458819,70650827,53282368,63441431,1349,74818038,68,74438202,25709551,17524379,35131472
