30527818,49945181,85599320,41120845,60526561,56625884,48098021
86928081,48709929,4781288,15932035,1690,745589,19860339
3980,895,49062126,92270415,6734550,54079008,20459878
3678,49302369,67782974,2730,93521964,54719960,21075344
10093,27650201,27800739,9055811,22322130,30780631,3469
1170,35,90582960,28422999,46263361,34624809,34
2377,25353056,21547550,58999049,1432,2414,19144922
81807022,61659604,2755,1487,58902168,1802,79798209
3077,61867588,6873333,98685901,1158,84585159,71656483
10531437,2692,46831309,12520486,25038093,50009119,31873262
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
30527818,49945181,85599320,41120845,60526561,56625884,48098021
3980,895,49062126,92270415,6734550,54079008,20459878
2377,25353056,21547550,58999049,1432,2414,19144922
81807022,61659604,2755,1487,58902168,1802,79798209
10531437,2692,46831309,12520486,25038093,50009119,31873262
