45816707,5768174,17866748,69178992,19250178,1747614,464,13058364,11359,10911417,95518534,44345706,38603085,45360702,1930,949460,10650349,88400810,60810822,6661606,34794885,81038975,66272967,2459,72727924,2997,62608569,63505238,54010170,75799655,88912635,71234905,79335272,51833760,91693257,58133125,71329426,79491674,41454464,22714406,25760704,3878
72821706,15132719,343,9145510,28358316,51488196,18222165,19228476,249654,2121645,75319576,90090238,98635321,15493494,43612647,27868533,3006,70354622,8757979,56617802,24353820,8235311,36217254,34001827,85631554,9013551,9645,1614,80644279,271,49866914,50533449,56174659,20459878,9130680,27974027,98339360,90429490,45545804,33047658,74234366,543
94058370,63291668,7401,46282643,42234236,67309921,788856,1782,117,1130,59535497,88757896,34156501,2671,84057002,3757,6397009,53459769,65632182,83809387,9106064,3515,42430687,54495429,67938715,9322101,76447403,59079301,68053567,92811554,70163124,86442154,52822631,1108,64038717,69832593,87569880,79302054,76073628,29248845,62443947,1255
963,9654927,54740381,56638652,96522324,78422194,44512021,63972902,14699524,10508221,35107851,41846251,5837190,16301811,4715,32746297,49177348,4480547,810,80564933,35379701,10728,75504857,81761723,34857571,5624032,32653641,21008116,95369791,3830,88,8593738,36365342,91022419,17067635,42594999,4485118,11165088,2028567,70977097,4569364,4255
2276,46045607,9298742,82763254,18686104,21173686,5385,36944615,49945181,64642989,93932258,55056405,2849,21799749,2833,38470870,90052854,15711051,70650827,89210205,3773,13919747,1738054,2946,13424891,16176736,5890685,48782503,3268,32623553,16704351,71861016,89019840,1349,73058956,17327452,54419815,91869926,2504826,11865109,97387158,95059883
1319,2603,97227751,45906978,25747537,72620779,1628,14566856,83566981,5557954,1200831,90704673,24323117,10413468,24015391,66171890,54091745,39040500,24443286,54732525,61292290,97796540,57822185,99553811,98815863,24848491,13943797,3063,51247948,640,59156989,54550802,2979,6762600,56739848,38012504,5648,36868620,52054703,83009093,79480331,84286474
2336,5304688,46736180,19511139,61671554,16182625,41006070,37609326,33276313,34779352,63926827,78688722,45304375,90931999,68542945,33601921,85834467,59543710,75203019,62916707,912,6516325,48346024,81654536,5897534,27061575,97978877,60788422,615,53384882,57585883,59714329,41103047,35263872,34453201,57632476,2010,4368,83465021,63558506,83744406,10448074
2463,31235045,92502820,86412846,153,62047934,7857,50500750,1331,49173659,53903484,33725094,11191487,9067219,4248011,68996095,62767541,76645076,42602026,64442080,62673318,75874447,8855772,99466686,21882123,75588404,58641087,24082440,6131786,1582,2508,3199,99752336,45864230,3754,60199838,52606773,26,10030848,47369968,8261,62736219
1775,41758221,18163431,2853,1515150,89659267,38,99257760,24007451,66618603,15116119,5,8854127,876,1064,13954824,57125264,93358599,65183514,63201045,17151004,117952,62618040,35377323,68396133,258,26713061,15103727,3469,46966421,32165342,53632640,3712326,79067885,54079008,53959548,1262,68203913,69823670,74637114,11468434,71669763
5541,1114500,47862768,34738314,35573202,35931646,40627336,77749645,36187023,3211,14356726,79115420,38668644,95490520,62389814,22211885,69068598,66285890,4781288,36534357,3291,13841212,64104062,80305754,41980844,94945477,3224,18854892,83123987,9104431,87002157,1935,56916624,74800854,39898049,1152,54133033,5529422,2212,35474443,3904,62572306
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
45816707,5768174,17866748,69178992,19250178,1747614,464,13058364,11359,10911417,95518534,44345706,38603085,45360702,1930,949460,10650349,88400810,60810822,6661606,34794885,81038975,66272967,2459,72727924,2997,62608569,63505238,54010170,75799655,88912635,71234905,79335272,51833760,91693257,58133125,71329426,79491674,41454464,22714406,25760704,3878
94058370,63291668,7401,46282643,42234236,67309921,788856,1782,117,1130,59535497,88757896,34156501,2671,84057002,3757,6397009,53459769,65632182,83809387,9106064,3515,42430687,54495429,67938715,9322101,76447403,59079301,68053567,92811554,70163124,86442154,52822631,1108,64038717,69832593,87569880,79302054,76073628,29248845,62443947,1255
2463,31235045,92502820,86412846,153,62047934,7857,50500750,1331,49173659,53903484,33725094,11191487,9067219,4248011,68996095,62767541,76645076,42602026,64442080,62673318,75874447,8855772,99466686,21882123,75588404,58641087,24082440,6131786,1582,2508,3199,99752336,45864230,3754,60199838,52606773,26,10030848,47369968,8261,62736219
5541,1114500,47862768,34738314,35573202,35931646,40627336,77749645,36187023,3211,14356726,79115420,38668644,95490520,62389814,22211885,69068598,66285890,4781288,36534357,3291,13841212,64104062,80305754,41980844,94945477,3224,18854892,83123987,9104431,87002157,1935,56916624,74800854,39898049,1152,54133033,5529422,2212,35474443,3904,62572306
