14282012,22804981,82867139,1096,9111011,80407201,89687889,53494477,9563577,59296756,1562,38925045,52981835,55347859,76450466,623,73269855,95204364,47044444,1222903,62339043,2188045,31188458,66820907,96585589,99770348,69120418,54822903,16368747,5815422,27352017,56727522
37465542,90570520,34738314,53903484,90582960,86191415,11027,92063742,66763526,57822185,83133846,87980109,66858243,68418848,1773274,2571,65432101,72330528,21086722,52,1981,82897442,76446610,41117668,16119492,823,70839428,91346168,59537684,72857814,22182023,94525420
2052,1738,40855217,98776816,36525643,52481698,35457408,3922403,3748,96414541,28956604,14482391,1773,81654536,10503888,4440504,34449517,2888,54010170,37609326,3345,95365690,69640517,34928149,66171890,8899295,69761729,75680291,5890685,68747752,40573519,21862072
95432501,18331057,80855452,3833902,43252468,69354104,15924412,46227514,63219690,27904290,46599167,71562015,86091345,27985441,4999,3509,18163431,44852805,27135431,9859,1626,93383478,888,63990634,58462047,95706283,59972357,44978225,10702485,82197737,44,33720845
3543,118,2907,2259,98864054,339,42430687,22689193,2595,62890523,5557954,612,20655334,79838293,2153,85687774,20603227,39317482,52195531,13021684,19165534,96173613,615,63081496,23456716,81584167,5670416,76793396,94921665,55833750,33446622,2328
605,49296242,2453,7418,54752987,76236229,96935939,2520353,35577237,59955376,10650,70319515,83041977,91327929,88888269,36498439,1135,28123855,66436326,6837058,23543101,40902030,30277490,94166147,7052839,26138603,17516535,63130450,15459257,57618069,94041960,70128237
45731806,4418570,87940978,37441408,20648479,87907689,23104387,9595072,51813179,49400448,2253,8070820,62427842,3174,1556,764,68195986,2754,53150421,87937092,1689,11165088,95733749,99278032,842,1656,2672,76135319,95518534,63926827,44293308,5304331
3511,88170289,63472384,72096937,40626055,88319682,38070029,55037939,67546647,58550822,3555155,342,80567723,21385729,1642,89302223,2401,69823670,41867381,59710752,2210,53102117,98081868,73784321,350499,571,81990486,3811,17039579,1206,58238744,2221
65036064,88834064,78649419,30791741,72798836,95391487,85742187,19580573,20809352,80525493,24749118,75947034,23135692,72003149,69901072,37390208,168,59047102,63545399,932,1530,91037123,58512443,64973693,43664085,81127321,28481227,96695422,10679,40205115,86339223,74546420
4995,41006070,78667527,54645806,1246,70977097,2126,47238999,38205874,6092787,95722668,54129630,47298574,73314934,1351,83744406,60125994,42651188,60230421,9162903,24936366,7099,27760046,79359417,28156739,2798,68989574,26341355,2046,47772210,94775294,10280
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
14282012,22804981,82867139,1096,9111011,80407201,89687889,53494477,9563577,59296756,1562,38925045,52981835,55347859,76450466,623,73269855,95204364,47044444,1222903,62339043,2188045,31188458,66820907,96585589,99770348,69120418,54822903,16368747,5815422,27352017,56727522
2052,1738,40855217,98776816,36525643,52481698,35457408,3922403,3748,96414541,28956604,14482391,1773,81654536,10503888,4440504,34449517,2888,54010170,37609326,3345,95365690,69640517,34928149,66171890,8899295,69761729,75680291,5890685,68747752,40573519,21862072
3511,88170289,63472384,72096937,40626055,88319682,38070029,55037939,67546647,58550822,3555155,342,80567723,21385729,1642,89302223,2401,69823670,41867381,59710752,2210,53102117,98081868,73784321,350499,571,81990486,3811,17039579,1206,58238744,2221
4995,41006070,78667527,54645806,1246,70977097,2126,47238999,38205874,6092787,95722668,54129630,47298574,73314934,1351,83744406,60125994,42651188,60230421,9162903,24936366,7099,27760046,79359417,28156739,2798,68989574,26341355,2046,47772210,94775294,10280
