2902,37868559,45089298,58173835,1657,89672892,83722591,48380392,92529356,10934925,84057002,10702485,56069827,34669208,67995285,66884094,25747537,42112159,82763254,40149122,91262608,25394970,31254297,61809003,24763751,15103727,11110592,43192416,90366512,30807364,3483,61029869,5445,52778792,1473415,4458135,66345286,2258,37264526,31764650,64789080,2027774,35057538,88810574,99677460,83137714,47335153,11344862,79007082,24353820,37676316,1927
8519,10736680,61867588,90867876,9780645,46155524,1588,2522,32185286,57284325,80628025,1195,60457825,19400376,6911552,5604631,41849011,3173,18880945,584811,21313643,60394644,50320124,72889137,62343466,54257065,3035,92322378,98788070,644,3769,27838117,99716561,39164525,3399968,25822711,38673484,53716289,44330716,54932880,77821957,2590,46263361,75170343,65763521,34125185,36806219,48774606,66095858,10427672,22973603,38921874
229,3151357,21018159,56678074,10770130,46275836,2148,8556467,99149345,32061487,47483712,3176,2842,3157,52533727,71651464,3975,84733837,18192541,45326221,41643542,43612647,57075303,59543710,27026367,2355,3063,67560100,76221531,89576708,557,43960928,39958155,82792853,91998385,35646599,20491338,60675847,49409562,16984451,1744,3245,1989,16468906,11480212,91776167,51544994,73209607,89226317,2110,45840859,13642275
3170,3499,27690512,88365083,2538,24703598,26014739,88686042,3244,21075344,31235045,25770914,73058956,56978738,15203357,13827365,85525637,75963014,4752576,34001827,92220371,78677373,9999049,57953965,951,3452,552,4935080,26736420,86137514,79532688,67667299,85872715,35031116,38,35443323,86823993,10280,1628,357,61846792,55811417,32205635,3640,33791315,57065409,59746819,28241002,62451505,38757246,29971635,46919482
3755,1785,20581275,1082,46270674,46773761,49945181,479,2814,93537979,53,28510761,77922910,71638446,44548678,32653641,30762762,2730,48820698,80799913,3029,1551,75680291,2152,12600803,70354622,20439923,97866481,1215,13214141,79603081,73115485,47684144,96803217,2215,62736219,96369796,23132455,18241173,1688,10652,60317361,91239595,878,1615906,91621130,99499773,5619949,95626550,5305,23213660,19993174
81717645,90553646,2218,17762130,61091714,78560203,35369825,12450731,71719521,54096066,9709912,83009093,79012286,30674797,11382,88451617,35107851,5785042,35302007,3775,31507086,9933358,25924396,1675,47586584,5529422,10439,68396133,45864230,1928,1142,2733,9188,55523544,118,47741246,375,58186644,3634,74690037,43205881,3996,90201395,12925506,76447403,12073362,41750717,41812431,44909232,67046397,16308558,75409131
24475783,3542,84430861,26473224,70961040,46998095,89174168,89206337,98189168,26674098,920,90602427,2578,88794773,2264,33145171,10911417,2964,66114073,2855,36382317,69806456,41246616,56781524,48207306,42597097,96171360,64321249,3837,7434404,9593391,66171890,91637825,37776649,15210831,89781009,26319808,70163124,81993627,2961,89184629,11477667,2688,287,83005940,82897442,4240,84613001,51833760,91037123,56525182,73561632
45187926,66783034,65154915,10707974,32849800,98467659,67366206,762,19831466,40212154,38860297,77708458,42063969,38579416,20809352,88047855,23482644,88319682,9366387,41444516,54040610,3101,57786190,58550822,26847303,58,3211,64831644,95935326,9448177,61292290,75874447,69870853,2342,30570674,38325697,83046674,166,68375611,21862072,67174297,17411059,91738003,64108812,78449135,58262753,49257469,53236597,2028567,325,1671,3736
1882,41750305,62011670,90301942,39,97685545,1130,19546556,53077900,669,4725,33601921,41841411,36101162,28360057,18580800,949460,274038,95570617,5844581,238,74763947,34629786,60977023,23961645,35931646,3363,94148736,14515853,21546656,27521276,81478815,62039023,40923118,3130,6872,1758,1485199,18570590,2796,23606485,47811776,1858,71273207,33418482,79690658,3009,47511076,62146550,313,68707388,24286341
2719,81294440,53384882,77274346,77193778,85708903,19594610,42885518,97387158,62729650,35182011,98635321,1613778,8156723,1439,6472,55954945,18163144,97242187,85648721,87632876,3335,1652,1200831,91464036,62389814,1973,2444,73968469,62032568,141,2871,85494482,19791907,8703875,59096312,62055730,89846694,52683812,20491111,75713777,41176962,91468649,88213985,41446197,12900066,3359,48610538,1515,30850821,2823,1592
T,r,u,e, ,i,n,j,e,c,t,i,o,n,s
2902,37868559,45089298,58173835,1657,89672892,83722591,48380392,92529356,10934925,84057002,10702485,56069827,34669208,67995285,66884094,25747537,42112159,82763254,40149122,91262608,25394970,31254297,61809003,24763751,15103727,11110592,43192416,90366512,30807364,3483,61029869,5445,52778792,1473415,4458135,66345286,2258,37264526,31764650,64789080,2027774,35057538,88810574,99677460,83137714,47335153,11344862,79007082,24353820,37676316,1927
229,3151357,21018159,56678074,10770130,46275836,2148,8556467,99149345,32061487,47483712,3176,2842,3157,52533727,71651464,3975,84733837,18192541,45326221,41643542,43612647,57075303,59543710,27026367,2355,3063,67560100,76221531,89576708,557,43960928,39958155,82792853,91998385,35646599,20491338,60675847,49409562,16984451,1744,3245,1989,16468906,11480212,91776167,51544994,73209607,89226317,2110,45840859,13642275
45187926,66783034,65154915,10707974,32849800,98467659,67366206,762,19831466,40212154,38860297,77708458,42063969,38579416,20809352,88047855,23482644,88319682,9366387,41444516,54040610,3101,57786190,58550822,26847303,58,3211,64831644,95935326,9448177,61292290,75874447,69870853,2342,30570674,38325697,83046674,166,68375611,21862072,67174297,17411059,91738003,64108812,78449135,58262753,49257469,53236597,2028567,325,1671,3736
2719,81294440,53384882,77274346,77193778,85708903,19594610,42885518,97387158,62729650,35182011,98635321,1613778,8156723,1439,6472,55954945,18163144,97242187,85648721,87632876,3335,1652,1200831,91464036,62389814,1973,2444,73968469,62032568,141,2871,85494482,19791907,8703875,59096312,62055730,89846694,52683812,20491111,75713777,41176962,91468649,88213985,41446197,12900066,3359,48610538,1515,30850821,2823,1592
